BankID,BankName,AccountName,AccountNumber,AccountType,AccountTypeCode,AccountStatus,OpenDate,CloseDate,BaseCurrency,SettlementCurrency,InterestRate,InterestRateType,ElectronicStatementDelivery,Latest StatusChangeDate,Latest FromStatus,Latest ToStatus,BalanceType (Current),AsOfDate (Current),BalanceAmount (Current),BalanceCurrency (Current),Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
BANK6689,Williams-Mendoza,Stacey Adams,7883193122,Loan,AT006,Pending,02-08-2023,,USD,INR,3.39,N/A,FALSE,16-08-2025,Matured,Pending,Final Balance,09-10-2025,33434.12,USD,"7205 Madison View, New Darren, NY 38784-8836",618 Lisa Mountain Apt. 063,,New Darren,NY,USA,38784-8836,38784,8836
BANK2269,Tucker PLC,Jill Schmidt,9415821076,Loan,AT006,Inactive,22-06-2015,,USD,GBP,7.7,Variable,TRUE,04-12-2020,Closed,Inactive,Principal Owed,09-10-2025,66239.1,USD,"057 Cooper Landing Suite 032, Rodriguezfurt, TX 75159-7894",48997 Miller Courts Apt. 664,Apt. 573,Rodriguezfurt,TX,USA,75159-7894,75159,7894
BANK5425,Ford Group,Angela Howard,4190889598,Mortgage Loan,AT011,Closed,05-03-2008,19-09-2017,USD,USD,2.86,Fixed,FALSE,28-11-2024,Pending,Closed,Principal Owed,09-10-2025,104086.96,USD,"341 Richard Grove, New Joycemouth, WI 67945-8263",322 Derek Bypass,Apt. 074,New Joycemouth,WI,USA,67945-8263,67945,8263
BANK7584,Gross-Huang,Sheila Gutierrez,8229823140,Mortgage Loan,AT011,Pending,21-10-2019,,USD,INR,1.7,N/A,FALSE,14-04-2021,Pending,Pending,Principal Owed,09-10-2025,134860.8,USD,"4670 Shaw Fort Apt. 190, Changstad, UT 81554-6173",1395 Kimberly Centers,Apt. 843,Changstad,UT,USA,81554-6173,81554,6173
BANK6096,"Golden, Pennington and Joseph",Erik Oliver,3876303550,Mortgage Loan,AT011,Matured,27-11-2020,,USD,GBP,5.85,Fixed,TRUE,11-12-2024,Active,Matured,Book Value,09-10-2025,5458.36,USD,"93813 Hart Mews Suite 801, Terryland, PA 80118-9239",7133 Bethany Inlet,,Terryland,PA,USA,80118-9239,80118,9239
BANK7930,Morales-Nelson,Lisa Vance,4192446516,Trust Account,AT009,Matured,11-05-2017,,USD,USD,6.9,Variable,FALSE,14-07-2021,Active,Matured,Available Balance,09-10-2025,77969.89,USD,"98514 Jeffrey Crescent, Robertmouth, HI 62720-9701",6908 Kevin Way,Apt. 465,Robertmouth,HI,USA,62720-9701,62720,9701
BANK1931,Moore and Sons,Nicholas Roberson,2727389226,Custodial Account,AT008,Pending,10-12-2017,,USD,INR,6.64,N/A,TRUE,07-11-2024,Pending,Pending,Market Value,09-10-2025,52942.94,USD,"20520 Kenneth Dale, Saraport, DE 84206-1596",452 Hartman Manor,,Saraport,DE,USA,84206-1596,84206,1596
BANK3260,Wagner and Sons,Patricia Smith,2319095743,Brokerage / Securities,AT004,Pending,24-09-2020,,USD,CAD,6.13,N/A,TRUE,06-02-2024,Closed,Pending,Current Balance,09-10-2025,172310.07,USD,"26946 Sutton Centers, Darrenville, NM 63680-4691",248 Mccarty Cove,Suite 028,Darrenville,NM,USA,63680-4691,63680,4691
BANK9307,"Joyce, Erickson and Ruiz",Jessica Hutchinson,3670697647,Credit Card Account,AT010,Closed,27-03-2020,05-08-2021,USD,CAD,1.11,N/A,FALSE,26-08-2022,Pending,Closed,Market Value,09-10-2025,37269.65,USD,"3955 Johnson Mill, Lawrencemouth, MS 19149-7060",041 Christopher Glens,,Lawrencemouth,MS,USA,19149-7060,19149,7060
BANK8709,Watson-Webster,Carlos Davis,2106667413,CD (Certificate of Deposit),AT003,Pending,29-11-2020,,USD,CAD,0.1,Variable,FALSE,22-10-2023,Inactive,Pending,Principal Owed,09-10-2025,35737.62,USD,"029 Leblanc Meadows Apt. 924, Nancyhaven, AK 24579-6525",29383 Dawn River,,Nancyhaven,AK,USA,24579-6525,24579,6525
BANK9515,Gonzalez-Moreno,Kaylee Griffin,2034349009,Trust Account,AT009,Matured,24-11-2019,,USD,EUR,3.85,N/A,FALSE,03-07-2021,Pending,Matured,Current Balance,09-10-2025,23671.44,USD,"16924 Benton Extensions, Danielton, TN 73086-7101",867 Jose Manor Apt. 474,Suite 703,Danielton,TN,USA,73086-7101,73086,7101
BANK3020,Martinez-Kramer,Debra Gilmore,2633717057,CD (Certificate of Deposit),AT003,Active,08-12-2017,,USD,USD,2.37,Fixed,TRUE,18-03-2021,Pending,Active,Market Value,09-10-2025,169296.52,USD,"1147 Meghan Ford, Elizabethport, GA 22683-1836",334 Maldonado Brook Apt. 817,,Elizabethport,GA,USA,22683-1836,22683,1836
BANK9757,Patterson LLC,Larry Dunn,6671612871,Loan,AT006,Matured,25-02-2009,,USD,CAD,5.79,Fixed,FALSE,05-02-2023,Pending,Matured,Available Balance,09-10-2025,1908.46,USD,"83167 Moore Squares Suite 251, Jonathanside, MT 85538-1818",3585 Nathan Stream Apt. 096,Suite 572,Jonathanside,MT,USA,85538-1818,85538,1818
BANK7563,Martinez-Good,Brandon Kennedy,2510958932,Money Market,AT007,Pending,31-01-2019,,USD,CAD,6.21,Fixed,TRUE,28-01-2023,Closed,Pending,Book Value,09-10-2025,178960.46,USD,"37493 Kennedy Spurs Suite 820, Stevenmouth, WA 93723-4600",0966 Brandon Stravenue,Suite 170,Stevenmouth,WA,USA,93723-4600,93723,4600
BANK9472,"Long, Graves and Gonzales",Ann Simmons,8918019149,Money Market,AT007,Matured,31-03-2016,,USD,USD,4.97,Fixed,FALSE,13-03-2023,Inactive,Matured,Final Balance,09-10-2025,199467.25,USD,"18280 Johnny Lodge, Kevinville, NV 29237-8971",7989 Rodriguez Pines,,Kevinville,NV,USA,29237-8971,29237,8971
BANK1294,"Smith, Potts and Huff",Robin Scott,5333326717,Money Market,AT007,Matured,24-05-2011,,USD,CAD,0.37,Variable,TRUE,31-01-2023,Pending,Matured,Current Balance,09-10-2025,135648.42,USD,"614 Gross Point Apt. 334, North Anneville, UT 42955-7910",9495 Stephanie Walk Apt. 664,Apt. 606,North Anneville,UT,USA,42955-7910,42955,7910
BANK5179,"Wilson, Newton and Mckinney",Lauren Simmons,9477760383,Brokerage / Securities,AT004,Closed,03-12-2018,05-10-2020,USD,USD,6.37,Fixed,TRUE,08-06-2024,Closed,Closed,Available Balance,09-10-2025,120935.61,USD,"928 Alexander Trail, Clementsfurt, ID 12939-6232",7603 Cox Lodge Apt. 412,Apt. 809,Clementsfurt,ID,USA,12939-6232,12939,6232
BANK4710,Kemp-Hunt,Ashley Lewis,6284424443,Brokerage / Securities,AT004,Active,12-06-2010,,USD,CAD,3.43,N/A,TRUE,04-11-2023,Pending,Active,Market Value,09-10-2025,72424.46,USD,"92538 Simpson Light, Bennettborough, TX 73385-2180",767 Williams Ways,,Bennettborough,TX,USA,73385-2180,73385,2180
BANK7836,Smith-Thompson,Jose Davis,3514933416,Loan,AT006,Active,26-06-2011,,USD,EUR,5.94,Fixed,FALSE,02-07-2024,Pending,Active,Principal Owed,09-10-2025,90038.58,USD,"4660 Johnson Haven Suite 195, Brownland, WI 44758-5667",44015 Catherine Viaduct,,Brownland,WI,USA,44758-5667,44758,5667
BANK7633,Campbell Group,Linda Watson,6616361076,Money Market,AT007,Pending,10-05-2014,,USD,CAD,5.87,Variable,FALSE,24-05-2025,Matured,Pending,Market Value,09-10-2025,37184.72,USD,"718 William Gardens Apt. 273, East Justinfort, KS 54188-3623",89853 Angela Expressway Suite 539,,East Justinfort,KS,USA,54188-3623,54188,3623
BANK2037,Butler LLC,George Fisher,8883888044,Brokerage / Securities,AT004,Matured,14-06-2020,,USD,CAD,4.88,Variable,FALSE,16-05-2025,Active,Matured,Principal Owed,09-10-2025,47132.75,USD,"80014 Tiffany Light, Carolineberg, MO 53379-9255",0296 Horne Cliff Suite 443,,Carolineberg,MO,USA,53379-9255,53379,9255
BANK4006,"Castaneda, Wright and Gill",Kristina Salazar,9536261491,Loan,AT006,Active,25-04-2021,,USD,EUR,7.9,Variable,TRUE,08-03-2022,Active,Active,Principal Owed,09-10-2025,137913.58,USD,"8793 Allison Ways Apt. 336, West Jamesburgh, KS 50363-6242",0402 Charles Place,Suite 894,West Jamesburgh,KS,USA,50363-6242,50363,6242
BANK9198,"Larson, Shaffer and Mullins",Sara Walker,8686315267,Custodial Account,AT008,Inactive,02-03-2016,,USD,GBP,4.21,N/A,FALSE,27-05-2021,Active,Inactive,Current Balance,09-10-2025,121462.86,USD,"905 Donna Plains Apt. 811, East Devon, OR 91007-4304",92662 Teresa Expressway Suite 160,,East Devon,OR,USA,91007-4304,91007,4304
BANK5698,"Martin, Butler and Bradley",Derrick Powell,6014070963,Credit Card Account,AT010,Inactive,20-09-2013,,USD,USD,4.26,Variable,TRUE,08-11-2022,Pending,Inactive,Market Value,09-10-2025,85172.72,USD,"3558 Morris Wells Apt. 205, Jenniferberg, TN 67185-2234",159 Joyce Stream Suite 529,Suite 856,Jenniferberg,TN,USA,67185-2234,67185,2234
BANK4154,"Carpenter, Gillespie and Hudson",Kevin Ward,8070911615,CD (Certificate of Deposit),AT003,Active,01-08-2021,,USD,CAD,1.7,N/A,FALSE,25-08-2021,Pending,Active,Current Balance,09-10-2025,41484.75,USD,"524 Stephen Burg Suite 478, Port Ryan, AS 41722-8160",77332 Haley Trafficway,Apt. 864,Port Ryan,AS,USA,41722-8160,41722,8160
BANK3594,"Cowan, Knapp and Johnson",Lindsay Murphy,6348649087,Trust Account,AT009,Closed,25-05-2022,14-11-2022,USD,GBP,5.2,Variable,FALSE,31-03-2025,Matured,Closed,Available Balance,09-10-2025,166652.13,USD,"7232 Eddie Coves, Frenchborough, CO 27921-4826",605 Harrington Meadows Apt. 530,Suite 569,Frenchborough,CO,USA,27921-4826,27921,4826
BANK8966,Harris and Sons,Jennifer Medina,4916399895,Credit Card Account,AT010,Closed,11-05-2007,01-09-2011,USD,GBP,2.55,Fixed,FALSE,05-03-2023,Active,Closed,Final Balance,09-10-2025,198330.37,USD,"79487 Angela Path, West Charles, MT 95464-9535",4726 Mark Viaduct Suite 079,Suite 232,West Charles,MT,USA,95464-9535,95464,9535
BANK7476,Ellison-Osborne,Kathryn Knox,4065552815,Loan,AT006,Inactive,08-12-2017,,USD,EUR,5.54,N/A,TRUE,30-08-2022,Pending,Inactive,Book Value,09-10-2025,173973.03,USD,"62360 Adam Expressway Suite 312, Port Vanessa, GU 87661-8942",5532 Matthew Vista,Suite 022,Port Vanessa,GU,USA,87661-8942,87661,8942
BANK7419,"Salinas, Reynolds and Hood",Kelly Esparza,3145583482,Business Checking,AT005,Active,23-12-2017,,USD,EUR,6.33,Fixed,TRUE,14-07-2021,Active,Active,Principal Owed,09-10-2025,124609.02,USD,"792 Allison Crossing Apt. 347, Lauraview, CT 42090-9884",83032 Dale Garden,,Lauraview,CT,USA,42090-9884,42090,9884
BANK5398,Schmidt-Bond,Michael Zavala,7802244238,Custodial Account,AT008,Inactive,21-03-2018,,USD,CAD,2.59,N/A,FALSE,26-08-2023,Matured,Inactive,Market Value,09-10-2025,109145.62,USD,"95881 Arthur Branch Apt. 274, New Ashley, PW 72175-8813",5142 Anthony Plaza,,New Ashley,PW,USA,72175-8813,72175,8813
BANK1658,Bowman and Sons,Michael Cox,1452470726,Brokerage / Securities,AT004,Pending,16-04-2017,,USD,EUR,4.04,Variable,TRUE,14-06-2021,Active,Pending,Final Balance,09-10-2025,116798.84,USD,"046 Valentine Square, Port Benjamin, TN 80937-4135",62462 Scott Centers Apt. 830,Apt. 693,Port Benjamin,TN,USA,80937-4135,80937,4135
BANK1210,Kelly-Reed,Madison Hines,4962472605,Credit Card Account,AT010,Pending,08-05-2012,,USD,EUR,7.27,Variable,TRUE,12-05-2022,Active,Pending,Available Balance,09-10-2025,137519.66,USD,"63718 Harvey Spur, Rebeccaland, AL 69068-2333",63789 Herrera Shoal,Suite 297,Rebeccaland,AL,USA,69068-2333,69068,2333
BANK5422,"Woodard, Shah and Thompson",Eric Hayes,4639966582,Mortgage Loan,AT011,Inactive,13-03-2021,,USD,USD,2.66,Fixed,TRUE,13-06-2021,Closed,Inactive,Principal Owed,09-10-2025,115481.97,USD,"90053 Roberts Underpass, Johnnyhaven, ME 99060-1162",502 Chavez Inlet Suite 921,,Johnnyhaven,ME,USA,99060-1162,99060,1162
BANK5436,"Ayers, Reed and Owens",Jenny Hernandez,8105974125,Savings,AT002,Matured,07-08-2018,,USD,GBP,2.74,N/A,FALSE,04-10-2023,Pending,Matured,Current Balance,09-10-2025,192130.83,USD,"213 Gray Mountain, West Stephanie, DE 73042-1122",5442 Taylor Summit,Apt. 469,West Stephanie,DE,USA,73042-1122,73042,1122
BANK7589,"Ward, Johnson and May",Ronald Carr,9492987633,Business Checking,AT005,Pending,08-08-2009,,USD,INR,2.92,N/A,TRUE,22-12-2021,Pending,Pending,Current Balance,09-10-2025,105174.75,USD,"3937 Cooper Rest, East Randallburgh, VA 20115-9378",5844 Campbell Ports,,East Randallburgh,VA,USA,20115-9378,20115,9378
BANK4497,Garrett Group,Bryce Serrano,7354696150,Custodial Account,AT008,Active,08-12-2015,,USD,USD,4.36,Fixed,TRUE,03-11-2024,Closed,Active,Market Value,09-10-2025,4944.22,USD,"07306 Jonathan Fields Suite 585, South Jennifer, GA 18970-5863",0860 Matthew Mews,Suite 505,South Jennifer,GA,USA,18970-5863,18970,5863
BANK4227,Edwards-Bailey,Marco Barnes,6651413409,Brokerage / Securities,AT004,Pending,20-05-2010,,USD,USD,5.71,N/A,FALSE,14-08-2024,Closed,Pending,Available Balance,09-10-2025,131885.81,USD,"898 Jenkins Land Apt. 627, West Ashley, MH 93197-2150",9776 Leslie Summit Apt. 208,,West Ashley,MH,USA,93197-2150,93197,2150
BANK4167,Mcdaniel Ltd,Charles Jackson,4400613794,Money Market,AT007,Active,05-09-2011,,USD,CAD,7.47,N/A,FALSE,20-12-2023,Matured,Active,Book Value,09-10-2025,197283.94,USD,"0996 John Prairie Suite 289, Yangmouth, MD 66688-7822",260 Shannon Lodge Apt. 689,Suite 517,Yangmouth,MD,USA,66688-7822,66688,7822
BANK1447,"Gordon, Torres and Kennedy",Sarah Spence,5598411011,Money Market,AT007,Active,30-04-2008,,USD,EUR,3.14,Variable,FALSE,18-08-2022,Pending,Active,Principal Owed,09-10-2025,3706.58,USD,"479 Lisa Route Suite 885, South Daniel, NJ 86265-3967",44083 Valerie Cape,,South Daniel,NJ,USA,86265-3967,86265,3967
BANK6234,Drake Inc,Jason Mcclain,1076179992,Trust Account,AT009,Closed,09-12-2011,03-01-2018,USD,INR,5.42,N/A,FALSE,04-05-2022,Closed,Closed,Market Value,09-10-2025,185150.49,USD,"448 Shannon Rue, Jacobport, MS 98889-9429",72113 Bolton Flats,,Jacobport,MS,USA,98889-9429,98889,9429
BANK2760,Wood Inc,Pamela Kim,1169642661,Savings,AT002,Closed,11-06-2015,03-03-2023,USD,EUR,5.04,Fixed,FALSE,09-05-2021,Closed,Closed,Market Value,09-10-2025,124496.48,USD,"54110 Collin Well Suite 926, West Edwin, MH 81743-3568",580 Madison Alley Apt. 062,Apt. 391,West Edwin,MH,USA,81743-3568,81743,3568
BANK9010,Zamora-Lee,Christopher Shaffer,4646508773,Checking,AT001,Pending,07-09-2014,,USD,EUR,3.22,N/A,TRUE,04-06-2024,Inactive,Pending,Market Value,09-10-2025,187104.48,USD,"035 Smith Fort Apt. 173, Codybury, NV 16397-2000",5904 Amanda Walks,Apt. 637,Codybury,NV,USA,16397-2000,16397,2000
BANK8401,Becker-Fry,Ruben Stone,9243484125,Loan,AT006,Pending,04-01-2006,,USD,EUR,6.11,Variable,TRUE,15-02-2024,Matured,Pending,Principal Owed,09-10-2025,20176.88,USD,"65575 Kelly Rest Suite 240, Gavinland, TX 54834-2172",832 John Glens Suite 258,Apt. 984,Gavinland,TX,USA,54834-2172,54834,2172
BANK3680,Ramos-Mills,John Freeman,4528702320,Trust Account,AT009,Matured,01-09-2006,,USD,USD,4.55,N/A,TRUE,25-09-2025,Matured,Matured,Available Balance,09-10-2025,4142.78,USD,"8155 Walter Drive Suite 243, Port Laura, HI 11867-3951",892 Davidson Loaf Suite 903,,Port Laura,HI,USA,11867-3951,11867,3951
